latitude,longitude,weight
49.2035418688362,-123.12729116151655,3.25
49.2035763822053,-123.1366768932419,7.75
49.20370988098424,-123.13704852849,4.9375
49.203790028956874,-123.1320446962533,3.25
49.20383183226404,-123.13738456711128,1.0
49.203864290869305,-123.12615490643422,7.75
49.20389569432417,-123.13756148603105,1.0
49.203951098584795,-123.13678249964316,3.25
49.20405097140282,-123.02456751670015,4.375
49.204062253787775,-123.13040331090475,5.5
49.20406409887126,-123.13039839971913,1.0
49.20410895094135,-123.13481610090192,4.6
49.20412297691654,-123.13141019139324,3.25
49.2041893981347,-123.14165833827907,4.375
49.20423303010896,-123.13349036244641,2.125
49.204233843400644,-123.13353539712071,3.53125
49.20424313258118,-123.13468609892475,4.375
49.20425796396,-123.13483419199918,6.0625
49.20426809018771,-123.1352310364085,7.75
49.2042738007818,-123.13346980031288,1.75
49.20428831566333,-123.0234256385787,3.25
49.204291135725526,-123.13475574466548,5.5
49.20429233149365,-123.13647013363097,3.25
49.20429500985105,-123.13646822454795,6.625
49.204322206448765,-123.13307986892636,1.0
49.20433016223356,-123.12410455273604,5.125
49.20433128967944,-123.1325535902871,1.0
49.2043524785488,-123.1308499685313,1.0
49.204359344361194,-123.13599679414219,1.0
49.204373721754415,-123.14248909005575,4.9375
49.204384916608475,-123.13143377453329,5.5
49.20440942688028,-123.13071094907636,2.125
49.20441842500711,-123.14266818634243,7.75
49.20442142700328,-123.12831837023134,3.25
49.20442368758287,-123.13033322880378,2.5
49.2044249425472,-123.13145788027906,3.25
49.20443029178867,-123.13617875851224,4.375
49.20443792926324,-123.13897043033747,1.0
49.20444529422434,-123.13898869715321,2.125
49.20444569732032,-123.13621827356587,2.5
49.204448155779716,-123.13888836561092,5.5
49.2044683783285,-123.139045942658,4.375
49.20447104834656,-123.14307040181065,6.625
49.20448232890872,-123.1317019226304,4.75
49.20448476790991,-123.13063780184633,5.5
49.20449853840348,-123.13480136019736,7.75
49.204498914448884,-123.13049250242112,3.25
49.20449962817442,-123.03452255967157,4.5625
49.20451276730978,-123.02560360102594,1.0
49.204519919730465,-123.13905330548222,5.5
49.204522224064114,-123.13467477881747,7.75
49.20454091934325,-123.12828626566406,7.75
49.20456499494431,-123.13101287272136,3.30921052631579
49.20456546347911,-123.13101139268078,2.95
49.20456593952735,-123.12831077766023,3.25
49.204577124620194,-123.13096332929078,3.25
49.204583979632126,-123.13040468282915,5.5
49.20462210809768,-123.13942717939247,1.409090909090909
49.204622269526986,-123.13942758208461,2.5
49.20462482481513,-123.13623311164501,3.25
49.20464688453127,-123.13045976134447,5.5
49.20465209907026,-123.1304582004293,3.25
49.20465209907647,-123.130458194938,2.125
49.204652868543626,-123.02599249507118,4.15
49.20465445165209,-123.1393831613732,5.5
49.204659773777635,-123.02850345753345,3.25
49.20466074235224,-123.13952299334136,4.9375
49.204661064365595,-123.13621922483034,2.6071428571428568
49.204664950774884,-123.13634464609049,2.125
49.204691037673875,-123.12843333388686,3.25
49.20471605782598,-123.12845784603152,2.6875
49.20476612783985,-123.1285068334057,3.25
49.20476827984655,-123.13711815109345,6.625
49.20476951969289,-123.12978464981236,3.25
49.204771633640384,-123.13712770977901,1.0
49.20477205384266,-123.13466421380637,3.25
49.204787614153425,-123.02357949283882,2.6875
49.20479319874513,-123.13181750459839,5.5
49.20480363724142,-123.12459979920885,3.953125
49.20483357322302,-123.12234752292532,4.9375
49.20485340774445,-123.13466077200755,1.0
49.20485623333808,-123.13710286754272,2.5
49.20486052755742,-123.13711510724244,6.625
49.20486145531462,-123.03663285988807,4.375
49.20491621525895,-123.12865393857913,3.25
49.204928912822226,-123.02850430688375,2.125
49.204961248853905,-123.03082399356137,1.0
49.20496344879676,-123.1333677972902,2.125
49.20499958455336,-123.03115758514313,4.375
49.205000029213146,-123.12923145467033,4.375
49.205001553473735,-123.12922783023365,4.825
49.2050109865161,-123.1362065908252,3.25
49.205016294745484,-123.12875198682205,2.125
49.20502418223189,-123.12917298117807,3.25
49.205048611766195,-123.02830905514686,4.234375
49.20505479762824,-123.12248640419195,3.25
49.205061155736516,-123.12241830649577,1.0
49.20506123966212,-123.12995290101333,5.5
49.2050786792316,-123.03164418954923,7.75
49.20509206834824,-123.12900843508362,2.125
49.205108532201066,-123.12246410333479,3.25
49.20511022289335,-123.1380919777442,6.175
49.20511530666764,-123.1288489934471,3.8125
49.205129335213705,-123.14092207794889,5.5
49.20515228491109,-123.12897842217477,5.5
49.20515632101766,-123.14092215463631,5.5
49.20515724664244,-123.13822590309334,1.0
49.205158298980045,-123.12896570059239,3.25
49.20516400248331,-123.13824513484619,6.625
49.205173394968305,-123.1024702969074,3.25
49.205219942128075,-123.12485158406771,5.258928571428571
49.20524448548064,-123.12487517777907,2.125
49.20524599882998,-123.12911288064238,3.25
49.20524648971233,-123.14224176765116,2.125
49.205275182135935,-123.13464292540364,2.5
49.205280942794225,-123.13167629018224,4.375
49.205282798801335,-123.14052840041728,3.25
49.20528280239277,-123.14052840591883,3.25
49.20529095826165,-123.13347480316872,1.0
49.205299671532075,-123.12850832037319,1.0
49.20530230155041,-123.14482558494426,3.25
49.20531265654117,-123.144847422845,1.0
49.20531887114011,-123.14040093503071,5.5
49.205319114101286,-123.13632103330808,3.25
49.205320853744226,-123.02350311689352,5.5
49.205329125708744,-123.02353457545826,2.125
49.20532938974825,-123.1347662127891,3.53125
49.205329871334065,-123.02339329349755,5.5
49.20535128966721,-123.03146339488548,7.75
49.205358228729175,-123.13167380874079,7.75
49.20537785833412,-123.13885421560497,3.25
49.20537905146879,-123.03674722426477,1.0
49.20538055732781,-123.14064047668872,7.75
49.20538060867182,-123.13886205128456,7.75
49.20538423092259,-123.12515785172383,4.6
49.205398979208326,-123.03719263342026,4.125
49.205416398996284,-123.14039433455996,2.125
49.205422734851304,-123.14039913138518,4.375
49.205427632424026,-123.13899597809537,3.25
49.205443683025585,-123.1281614793404,3.25
49.205475320317454,-123.11907411002557,3.25
49.20547592275018,-123.14043941863088,1.0
49.20547915711198,-123.13914272923006,2.125
49.205488766800094,-123.13179518039229,3.25
49.205491786627,-123.0233933698799,5.5
49.20550075403486,-123.02353065917066,5.5
49.205524711349234,-123.14529605736138,2.125
49.20552710509878,-123.14069221089407,1.5625
49.20554651668602,-123.03825229469652,7.75
49.20555817168548,-123.12799102393683,5.5
49.20556515002416,-123.14538159750738,3.25
49.205589030259794,-123.13475522993075,4.9375
49.20559399799547,-123.1376950243623,2.125
49.20559500663929,-123.13041148891863,2.125
49.20559697503234,-123.14266795956117,1.0
49.20561372195084,-123.03100115954196,7.75
49.205615845502436,-123.13166554041051,1.0
49.20561962556852,-123.10245609288799,7.75
49.205623966582934,-123.02835122407359,3.25
49.205627924719515,-123.12008367556628,7.75
49.20563511391011,-123.1174856889456,2.125
49.205640930273155,-123.03888841102233,4.375
49.20564345916352,-123.13345659515102,1.0
49.20564461697068,-123.13351176233105,1.0
49.205646027180975,-123.1455526795906,1.0
